name,dependency_pkg
EASGen,EASGen
AudioToText,SpeechRecognition
AudioToText,pydub
EtmA2T,SpeechRecognition
EtmA2T,pydub
audiotool,modelscope
audiotool,funasr
audiotool,numpy
audiotool,pydub
audiotool,rotary_embedding_torch
audiotool,pyannote.audio
audiotool,torch
audiotool,umap-learn
audiotool,torchaudio
audioconverter,colorama
audioconverter,click
audioconverter,pydub
pydub-stubs,typing-extensions
spotifymanna,pycryptodome
ccsy,requests
ccsy,pyaudio
ccsy,soundfile
ccsy,cochl-sense-api==1.6.0
PlaywrightCapture,"beautifulsoup4[charset-normalizer,lxml]<5.0.0,>=4.12.3"
PlaywrightCapture,"pydub<0.26.0,>=0.25.1;"
PlaywrightCapture,"requests[socks]<3.0.0,>=2.31.0;"
PlaywrightCapture,"SpeechRecognition<4.0.0,>=3.10.1;"
PlaywrightCapture,"setuptools<70.0.0,>=69.2.0"
PlaywrightCapture,"playwright<2.0.0,>=1.42.0"
PlaywrightCapture,"pytz<2025.0,>=2024.1;"
PlaywrightCapture,"tzdata<2025.0,>=2024.1"
PlaywrightCapture,"w3lib<3.0.0,>=2.1.2"
PlaywrightCapture,"dateparser<2.0.0,>=1.2.0"
PlaywrightCapture,"puremagic<2.0,>=1.21"
PlaywrightCapture,"playwright-stealth<2.0.0,>=1.0.6"
streamlit-audiorecorder,pydub
streamlit-audiorecorder,streamlit
cochl,requests
cochl,pyaudio
cochl,soundfile
cochl,cochl-sense-api==1.6.0
Mashup-Samarjot-102003242,pytube
Mashup-Samarjot-102003242,pydub
TextExtract-Img-Aud,ImageConvertToText
TextExtract-Img-Aud,EtmAudio2Text
ttsdg,pyttsx3
ttsdg,pydub
elan-scissors,prospector[with_pyroma]
elan-scissors,sphinx
elan-scissors,pydub
elan-scissors,myst-parser
elan-scissors,bump2version
elan-scissors,click
elan-scissors,flake8
elan-scissors,isort
elan-scissors,twine
elan-scissors,click-default-group
elan-scissors,sphinx-rtd-theme
elan-scissors,sphinx-autoapi
elan-scissors,pytest-cov
elan-scissors,wheel
elan-scissors,pytest
elan-scissors,coverage[toml]
elan-scissors,tox
elan-scissors,colorlog
elan-scissors,python-slugify
EtmAudio2Text,SpeechRecognition
EtmAudio2Text,pydub
